Date,dominant_regime,dominant_regime_probability,transition_entropy,instability_score
2025-02-10,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-02-11,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-02-12,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-02-13,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-02-14,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-02-18,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-19,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-20,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-21,normal,0.65,0.8178660873472432,0.2862531305715351
2025-02-24,normal,0.6666666666666666,0.8033149761408755,0.26777165871362524
2025-02-25,normal,0.6833333333333333,0.7873048089572785,0.2493131895031382
2025-02-26,normal,0.7,0.7697761617721899,0.230932848531657
2025-02-27,normal,0.7166666666666667,0.7506591611170552,0.21268676231649897
2025-02-28,normal,0.7,0.7881169759375682,0.2364350927812705
2025-03-03,normal,0.7166666666666667,0.7677166566479392,0.21751971938358278
2025-03-04,normal,0.7166666666666667,0.7800277323725409,0.22100785750555324
2025-03-05,normal,0.7166666666666667,0.78803077975292,0.22327538759666066
2025-03-06,normal,0.7166666666666667,0.78803077975292,0.22327538759666066
2025-03-07,normal,0.7,0.8169527750340906,0.24508583251022723
2025-03-10,normal,0.7166666666666667,0.7919752538173033,0.22439298858156925
2025-03-11,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-12,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-13,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-14,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-17,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-18,normal,0.7,0.818808456222877,0.24564253686686313
2025-03-19,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-20,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-21,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-24,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-25,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-26,normal,0.6833333333333333,0.843389114541383,0.26707321960477126
2025-03-27,normal,0.6666666666666666,0.865893772866009,0.28863125762200303
2025-03-28,normal,0.6666666666666666,0.865893772866009,0.28863125762200303
2025-03-31,normal,0.65,0.8864644756797975,0.3102625664879291
2025-04-01,normal,0.6333333333333333,0.9052172803449572,0.331913002793151
2025-04-02,normal,0.65,0.8864644756797975,0.3102625664879291
2025-04-03,normal,0.65,0.8864644756797975,0.3102625664879291
2025-04-04,normal,0.6333333333333333,0.9052172803449572,0.331913002793151
2025-04-07,normal,0.6333333333333333,0.9052172803449572,0.331913002793151
2025-04-08,normal,0.6166666666666667,0.9222481192475023,0.3535284457115425
2025-04-09,normal,0.6166666666666667,0.9222481192475023,0.3535284457115425
2025-04-10,normal,0.6,0.9988694689711082,0.3995477875884433
2025-04-11,normal,0.5833333333333334,1.0137952894772906,0.42241470394887104
2025-04-14,normal,0.5666666666666667,1.066372455378292,0.4620947306639266
2025-04-15,normal,0.5666666666666667,1.0957792536622104,0.47483767658695786
2025-04-16,normal,0.55,1.1334820491635504,0.5100669221235976
2025-04-17,normal,0.55,1.1245743568413467,0.5060584605786059
2025-04-21,normal,0.5333333333333333,1.1575608321932074,0.5401950550234967
2025-04-22,normal,0.5333333333333333,1.1454524113723434,0.534544458640427
2025-04-23,normal,0.5333333333333333,1.1482431942860272,0.535846824000146
2025-04-24,normal,0.5166666666666667,1.1745620496615747,0.5677049906697611
2025-04-25,normal,0.5,1.1979540596469644,0.5989770298234822
2025-04-28,normal,0.48333333333333334,1.2187016182747914,0.6296625027753088
2025-04-29,normal,0.48333333333333334,1.2095772435961805,0.6249482425246932
2025-04-30,normal,0.4666666666666667,1.2262248388271875,0.6539865807078333
2025-05-01,normal,0.45,1.2407598239291024,0.6824179031610064
2025-05-02,normal,0.43333333333333335,1.2532868829960089,0.710195900364405
2025-05-05,normal,0.4166666666666667,1.2638894396500064,0.737268839795837
2025-05-06,normal,0.4166666666666667,1.2443571349128635,0.725874995365837
2025-05-07,normal,0.4,1.2519894208137132,0.7511936524882279
2025-05-08,normal,0.4,1.2260916422363142,0.7356549853417885
2025-05-09,normal,0.38333333333333336,1.2310059783830634,0.7591203533362224
2025-05-12,normal,0.38333333333333336,1.2310059783830634,0.7591203533362224
2025-05-13,normal,0.38333333333333336,1.2310059783830634,0.7591203533362224
2025-05-14,normal,0.38333333333333336,1.2310059783830634,0.7591203533362224
