Date,state_0_filtered_probability,state_1_filtered_probability,state_2_filtered_probability
2025-02-03,2.811512472093404e-154,0.9999583067635116,4.169323626070219e-05
2025-02-04,4.641972051104787e-165,0.999999330080979,6.699187247294e-07
2025-02-05,1.881965200670139e-169,0.9999999583596955,4.163997034042359e-08
2025-02-06,1.654691107609426e-182,0.9999999630981626,3.690217223238858e-08
2025-02-07,8.418250710229268e-177,0.9999992654505119,7.345492133825061e-07
2025-02-08,1.8526807046817174e-178,0.9999996300158047,3.6998445051284407e-07
2025-02-09,7.034861515138229e-181,0.9999996502629686,3.4973731356180964e-07
2025-02-10,3.168703161202732e-186,0.9999999644296629,3.5570989492575064e-08
2025-02-11,7.785028494456769e-190,0.9999986394423265,1.3605583414857718e-06
2025-02-12,1.3283828032333985e-184,0.9999981296513608,1.8703493311992414e-06
2025-02-13,7.698373975559739e-182,0.9999999775736799,2.2426062249559304e-08
2025-02-14,2.744810870882255e-184,0.9999999533392849,4.666137652760872e-08
2025-02-15,1.519377531556167e-188,0.9999999664869398,3.351369176226666e-08
2025-02-16,9.047223149246213e-206,0.9999999999818101,1.8440071973238448e-11
2025-02-17,3.8931844444111606e-215,0.9999999999054126,9.436910081909566e-11
2025-02-18,2.8859442598204758e-216,0.9999999999890861,1.1342890323036007e-11
2025-02-19,2.1026647774240496e-219,0.9999999999872671,1.2381062420037036e-11
2025-02-20,4.267228883901537e-213,0.9999999999618012,3.877838827842417e-11
2025-02-21,1.7692969330264405e-194,0.9997194917937549,0.00028050820660468985
2025-02-22,5.945529314724644e-194,0.9998797939773127,0.00012020602207792774
2025-02-23,9.248944363363646e-204,0.9992997997618391,0.0007002002389526314
2025-02-24,2.044686310417249e-189,0.06458249692961719,0.9354175030706794
2025-02-25,5.204468032070662e-185,2.3451389310894353e-05,0.9999765486103139
2025-02-26,5.601183136455992e-176,6.981495444650606e-07,0.9999993018502827
2025-02-27,7.059581212943404e-167,3.9826146945848777e-13,1.0
2025-02-28,1.5224777613113787e-160,1.6279512388333867e-09,0.9999999983720045
2025-03-01,4.803003628493779e-158,3.132073005536533e-09,0.9999999968677002
2025-03-02,2.842248277477509e-138,6.9563342977286095e-12,0.999999999992724
2025-03-03,1.3546360594931088e-123,1.9476295752018993e-25,1.0
2025-03-04,2.8747356642177206e-121,8.222326506919224e-27,1.0
2025-03-05,5.333358631677609e-119,3.074499312606937e-20,1.0
2025-03-06,6.7472823875481955e-108,8.356421822910788e-30,1.0
2025-03-07,1.1935553343539902e-105,1.2420566750273248e-23,1.0
2025-03-08,9.176869929760501e-105,1.0632977734903436e-22,1.0
2025-03-09,1.6464535987593818e-105,5.356843970582226e-23,1.0
2025-03-10,1.4343727472634383e-97,2.583473413899007e-44,1.0
2025-03-11,7.475207747121946e-96,2.781265532118769e-40,1.0
2025-03-12,2.062818751757658e-91,8.33682223524381e-31,1.0
2025-03-13,5.999811545968738e-90,2.8732629709045785e-29,1.0
2025-03-14,2.054593595160361e-82,7.251290894208576e-24,1.0
2025-03-15,2.361921123638044e-82,1.0641400753354253e-23,1.0
2025-03-16,3.2248641447091784e-82,8.666292515067385e-22,1.0
2025-03-17,1.4802508937991025e-77,4.721636648892949e-19,1.0
2025-03-18,3.178272328397582e-73,2.11454055770446e-20,1.0
2025-03-19,7.760129149835518e-77,2.2806660817510416e-15,1.0
2025-03-20,3.757730669376636e-82,6.000391944893338e-18,1.0
2025-03-21,5.653186907438856e-82,1.9937579368955792e-17,1.0
2025-03-22,8.209103045999909e-81,5.799964470705789e-15,1.0
2025-03-23,3.054858050410383e-92,2.4639018399943674e-09,0.9999999975352694
2025-03-24,2.1873228812210437e-89,2.5688738734367204e-07,0.9999997431132545
2025-03-25,3.72375924429051e-94,1.4682411916560862e-08,0.9999999853171175
2025-03-26,1.2732829028687848e-97,1.9355500903864365e-06,0.9999980644498097
2025-03-27,1.1043192099433168e-98,6.517760815674746e-06,0.9999934822384188
2025-03-28,3.235888307428594e-92,5.286576939986944e-12,0.999999999994543
2025-03-29,6.863031667542893e-99,1.3730510838215934e-09,0.999999998626663
2025-03-30,1.2633128616091188e-118,0.007582471325331236,0.992417528674196
2025-03-31,2.6391724126995694e-127,0.046099987635486186,0.9539000123647634
2025-04-01,1.425703716453723e-126,0.23855394035348979,0.7614460596462984
2025-04-02,2.363599348452847e-127,0.7622350616389331,0.23776493836057078
2025-04-03,3.916142545432153e-100,6.158221291510512e-36,1.0
2025-04-04,1.2079396590996516e-70,4.014572326198439e-148,1.0
