Date,state_0_probability,state_1_probability,state_2_probability
2024-09-23,0.0030114102178166982,7.2481260087260246e-06,0.9969813416557222
2024-09-24,4.647756366980434e-06,8.067365772051608e-08,0.9999952715700524
2024-09-25,5.288656252372502e-07,3.867206151611037e-10,0.9999994707478926
2024-09-26,5.577888882200247e-09,6.778971295803222e-10,0.9999999937444954
2024-09-27,6.805888958641091e-09,1.3285714015987094e-11,0.9999999931806087
2024-09-28,6.000131034160863e-09,2.1035769312637667e-12,0.999999993997335
2024-09-29,1.5556075459305268e-09,4.838117711944052e-14,0.9999999984447641
2024-09-30,2.029415745880347e-09,2.1345048931368294e-14,0.9999999979709173
2024-10-01,2.746528590546759e-08,1.5648584242362103e-15,0.9999999725350793
2024-10-02,2.9188972707092022e-08,1.0937609225577378e-14,0.9999999708106775
2024-10-03,1.8961424903774794e-07,6.185288644110837e-14,0.9999998103858341
2024-10-04,6.518778029419597e-08,5.625072934303264e-13,0.9999999348119694
2024-10-05,6.593347664403923e-08,1.9773940720606267e-13,0.9999999340661838
2024-10-06,8.395822375306013e-08,4.1933105248666465e-13,0.9999999160409097
2024-10-07,2.1744855173188123e-05,2.2370080005507097e-11,0.9999782551221417
2024-10-08,1.467102833735458e-06,1.152170946668803e-09,0.9999985317446637
2024-10-09,2.5870871604645014e-07,1.3900576194672585e-11,0.9999997412769851
2024-10-10,3.316874948405699e-07,3.016032712206274e-12,0.9999996683091562
2024-10-11,2.351278737081147e-07,6.72675988969552e-12,0.9999997648656339
2024-10-12,2.8416301925204203e-07,5.873072455515267e-12,0.9999997158311493
2024-10-13,4.084288868469367e-07,6.262362958640163e-12,0.9999995915651122
2024-10-14,4.7554744589873705e-07,1.0976921663318216e-11,0.9999995244417045
2024-10-15,5.140787474128975e-06,8.495729178264894e-12,0.9999948592044611
2024-10-16,2.3828240893630645e-06,3.7808832293174485e-11,0.9999976171385438
2024-10-17,1.3703355667959334e-06,5.471289049057778e-11,0.9999986296097927
2024-10-18,4.5009953078281745e-07,2.055428496575057e-11,0.9999995498802594
2024-10-19,4.6866317026630946e-07,7.13097856743441e-12,0.9999995313293045
2024-10-20,3.9421423787090773e-07,3.360595597602642e-12,0.9999996057823277
2024-10-21,1.4213647183231634e-07,4.143209764555233e-11,0.9999998578223414
2024-10-22,7.179928760917028e-08,4.502008818762445e-12,0.9999999281963053
2024-10-23,1.0707268080639286e-06,1.5124344486330683e-12,0.9999989292715602
2024-10-24,7.047558279899293e-07,4.452368403054963e-12,0.9999992952400799
2024-10-25,2.2036973888177667e-06,1.350374175622949e-11,0.9999977962894898
2024-10-26,2.2858860071491e-06,4.445002505983384e-11,0.9999977140695343
2024-10-27,2.1964248944569278e-07,2.8487668271765684e-11,0.9999997803288593
2024-10-28,2.0102666046578403e-07,2.707382907625014e-12,0.9999997989707683
2024-10-29,5.894465023480671e-07,1.3253097628093252e-12,0.9999994105521101
2024-10-30,0.0013627310286085691,3.827312421795441e-15,0.998637268971558
2024-10-31,0.9984589277555779,1.3412480439801915e-12,0.001541072243469117
2024-11-01,0.9999448522403511,1.279887723781191e-09,5.514647983497246e-05
2024-11-02,0.9999835806676972,5.497732839964452e-10,1.64187823824674e-05
2024-11-03,0.9999941038860123,1.1541367551281585e-08,5.8845723718994425e-06
2024-11-04,0.9998869113727578,1.3772369180540944e-07,0.00011295090385842006
2024-11-05,0.9992097337080288,2.7219049105706164e-08,0.0007902390729399908
2024-11-06,0.9996235372284654,1.4678430901785517e-07,0.00037631598751686955
2024-11-07,0.9995427816027227,3.1742530243457074e-07,0.0004569009722627567
2024-11-08,0.9993569837751701,2.3472326790412696e-07,0.000642781501392179
2024-11-09,0.9993224724847983,1.1772329766559663e-07,0.0006774097919553168
2024-11-10,0.9996017644560015,1.57688577443583e-09,0.00039823396691090346
2024-11-11,0.9999869508125029,5.743808142017208e-09,1.3043443520620602e-05
2024-11-12,0.9998898928602095,2.9306079831793266e-08,0.0001100778340943245
2024-11-13,0.9999400342985044,5.493161043326638e-09,5.996020855090335e-05
2024-11-14,0.9999886597713153,1.4755612529744348e-12,1.1340226822764899e-05
2024-11-15,0.9999999681058404,1.1496145407510685e-13,3.189361548018693e-08
2024-11-16,0.9999999701640268,7.674550731590923e-14,2.983577249876205e-08
2024-11-17,0.999999978487722,4.478391313975041e-13,2.151228147368206e-08
2024-11-18,0.9999999165374936,2.15470168771064e-09,8.130736530103509e-08
2024-11-19,0.9997281257827962,5.55984667473168e-06,0.0002663143701873295
2024-11-20,0.4409447154836836,0.00030377096632985736,0.5587515135499556
