simulation_id,expected_return,volatility,variance,sharpe_ratio
232,0.0011203309041812326,0.008558421013980376,7.324657025254089e-05,0.13090392519264318
233,0.0007787847937947992,0.009485009180594972,8.996539915597091e-05,0.08210690985814606
234,0.0016656340061877058,0.013652425215023953,0.0001863887142518218,0.12200279290706105
235,0.0009892928486906949,0.012291801568534367,0.00015108838580022392,0.08048395861052407
236,0.0009203356660138358,0.011372974590914816,0.00012934455104559402,0.08092303896898147
237,0.0013088800318689828,0.010243077192310799,0.00010492063036763766,0.12778191624402907
238,0.0009148375227130661,0.013846821485433038,0.00019173446524945,0.06606841314994075
239,0.0011621905071894068,0.008151432430783553,6.644585067362986e-05,0.14257500348042407
240,0.0009018156825596187,0.007735512183996221,5.983814874875399e-05,0.11658125035668088
241,0.0015686234234663194,0.013050280946977409,0.00017030983279504156,0.12019844092549059
242,0.0014772345755363115,0.012903462847687928,0.00016649935346166266,0.11448357646110523
243,0.001259933434169922,0.012843998257081057,0.0001649682912279012,0.09809511095778177
244,0.001333428669224007,0.008978774404489784,8.061838980672086e-05,0.14850898453994274
245,0.0011240960516928286,0.009901325700365128,9.803625062471099e-05,0.11352985304294916
246,0.001309455986706508,0.012483398083492922,0.00015583522771095475,0.10489579663713769
247,0.0009576708347558379,0.00895305719517986,8.015723314016188e-05,0.10696578988364197
248,0.0013083907833231264,0.012930522402410521,0.00016719840959924034,0.10118622764067249
249,0.0013215406524953225,0.010392010950109123,0.00010799389158718794,0.1271689049251286
250,0.001372843698122014,0.012008596969315307,0.00014420640117144878,0.11432173980273812
251,0.0010161574517272116,0.011955370319716526,0.0001429308794815588,0.08499589929484558
252,0.0010387463701246628,0.010687116469725222,0.00011421445843747208,0.09719613078675189
253,0.0012348417987364266,0.01006963147531385,0.00010139747804863137,0.1226302870927994
254,0.0010772699959374387,0.010131697062322207,0.00010265128536266844,0.10632670808364321
255,0.000965814469699728,0.009901102875680877,9.803183815481612e-05,0.09754615034573216
