path_id,day,regime,simulated_return,cumulative_return
919,45,normal,0.0007998308516210037,0.04774743203066101
919,46,normal,4.87207000769036e-05,0.04779847901905332
919,47,bull,0.0053090012208117056,0.05336124242333007
919,48,normal,0.0007681826923930548,0.054170416298597424
919,49,bull,-0.0006288845093945622,0.0535074648535252
919,50,normal,0.003639823696313578,0.057342046288342274
919,51,normal,0.005289441412964117,0.06293479509564803
919,52,normal,0.005095981853547508,0.06835149152295972
919,53,crisis,-0.0038078968527788426,0.06428331924072794
919,54,normal,0.0023668908222672486,0.06680236166133091
919,55,normal,0.001784885639905827,0.06870648187727779
919,56,normal,-0.00518983376461098,0.06316007289317249
919,57,bull,-0.0007583616694233559,0.062353813045429085
919,58,bull,-0.0004494597142199316,0.061876327804217146
919,59,normal,0.004762944309357902,0.06693398561697417
919,60,normal,-0.004102741060443155,0.06255663174540116
920,1,bull,0.004732104351242549,0.004732104351242494
920,2,normal,-0.0066163693953986335,-0.001915574394561581
920,3,normal,0.0022023817926777206,0.0002825885719470733
920,4,bull,0.0012529590545608377,0.0015359016984179963
920,5,bull,0.0011598931847849514,0.0026975763651153617
920,6,normal,0.004150734000642198,0.0068595072876955765
920,7,normal,0.0020170419238949066,0.008890385125366995
920,8,normal,-0.0010523045370917916,0.007828725195671238
920,9,normal,0.0020408861544813244,0.009885588887011743
920,10,normal,0.001235250053126387,0.011133050114335852
920,11,normal,-0.0028184565604852754,0.008283215535717536
920,12,normal,-0.008398988409396053,-0.0001853435049554708
920,13,normal,0.003012425921537143,0.0028265240830029903
920,14,bull,0.0025302716116261162,0.005363947568276073
920,15,bull,-0.003217231343215621,0.0021294591648204353
920,16,bull,-0.0006646051447164465,0.0014634387705876328
920,17,normal,-0.0007557804701237773,0.0007065522620217646
920,18,bull,0.0007658708205620085,0.001472964210344374
920,19,bull,0.004106078288761194,0.005585090605469745
920,20,bull,-0.0016449194865206468,0.003930984094578038
920,21,bull,0.0021130316900077766,0.006052322078550665
920,22,bull,-0.000992578686864049,0.005053735985785401
920,23,bull,0.0006134446424084728,0.005670280815458506
920,24,bull,0.0037262419726177363,0.009417651626447476
920,25,bull,-0.001195149587965355,0.008211246536021122
920,26,normal,0.0004046641032120256,0.008619233435948948
920,27,bull,0.0027037867445757553,0.01134632474963726
920,28,bull,0.0037028011745090118,0.015091139108755591
920,29,normal,-0.0007616093105149064,0.014318036246189214
920,30,normal,0.0007468700396514396,0.015075599998139566
920,31,normal,0.0018126070237528785,0.01691553316033656
920,32,normal,-0.004491370801385055,0.012348188427225404
920,33,normal,0.000809322513855251,0.013167504607980218
920,34,normal,0.0037616703353343865,0.016978706754788853
920,35,normal,0.0030346719697982405,0.020064903530059297
920,36,normal,0.00028970480591519374,0.020360421234957293
920,37,normal,2.5631356859870348e-05,0.02038657445703973
920,38,bull,0.001206548443109127,0.021617720289820452
920,39,bull,-0.0069847698678184,0.014481955620710751
920,40,bull,0.0015032838421020146,0.016007009952699436
920,41,bull,0.002057622600314056,0.01809756893845549
920,42,normal,-0.003100997620962117,0.014940450799269867
