Date,gross_return,transaction_cost,net_return,turnover,gross_cumulative_return,net_cumulative_return,running_max,net_drawdown
2024-12-17,0.0017080558566786664,0.0,0.0017080558566786664,0.0,0.007142367388335957,0.005766249141784474,1.008526407424845,-0.0027368230149851236
2024-12-18,0.022601744451693294,0.0,0.022601744451693294,0.0,0.029905541802520474,0.028498320883025174,1.0284983208830252,0.0
2024-12-19,-0.009819207571878456,0.0,-0.009819207571878456,0.0,0.019792685508133623,0.01839928238294619,1.0284983208830252,-0.009819207571878596
2024-12-20,-0.004710885785554267,0.0,-0.004710885785554267,0.0,0.014988558641761074,0.013601719679549706,1.0284983208830252,-0.014483836192057065
2024-12-23,-0.0030995090214020315,0.0,-0.0030995090214020315,0.0,0.011842592447631084,0.010460052005294429,1.0284983208830252,-0.01753845243251717
2024-12-24,-0.0009742703156286562,0.0,-0.0009742703156286562,0.0,0.010856784245720563,0.009475590771496956,1.0284983208830252,-0.01849563555455891
2024-12-26,0.002776043181857252,0.0,0.002776043181857252,0.0,0.013662966329460069,0.012277938602509586,1.0284983208830252,-0.015770937055676892
2024-12-27,-0.0036024380648065285,0.0,-0.0036024380648065285,0.0,0.010011308274670228,0.008631270024324067,1.0284983208830252,-0.019316561296516377
2024-12-30,-0.0018746357848058665,0.0,-0.0018746357848058665,0.0,0.008117904933119924,0.006740453751862274,1.0284983208830252,-0.02115498556427642
2024-12-31,-0.0026131388353506776,0.0,-0.0026131388353506776,0.0,0.005483552885126919,0.004109701175044833,1.0284983208830252,-0.023712843485287682
2025-01-02,0.0014260088223269785,0.0,0.0014260088223269785,0.0,0.00691738130224584,0.005541570467504586,1.0284983208830252,-0.02232064938697309
2025-01-03,0.0013684239059277466,0.0,0.0013684239059277466,0.0,0.0082952711181139,0.0069175775909364745,1.0284983208830252,-0.02098276959126233
2025-01-06,0.002564337404517875,0.0,0.002564337404517875,0.0,0.01088088039664048,0.009499653998419566,1.0284983208830252,-0.018472239087657605
2025-01-07,-0.001229344775456438,0.0,-0.001229344775456438,0.0,0.009638159267716162,0.008258630872951533,1.0284983208830252,-0.01967887511250066
2025-01-08,0.001269965767637472,0.0,0.001269965767637472,0.0,0.010920365167686574,0.009539084819085053,1.0284983208830252,-0.01843390084260177
2025-01-10,-0.0058855971842385665,0.0005874731146223597,-0.0064730702988609265,0.5874731146223597,0.004970495112966322,0.0030042673536034847,1.0284983208830252,-0.024787647205426255
2025-01-13,0.001156000790760165,0.0,0.001156000790760165,0.0,0.006132241800007376,0.0041637410797998875,1.0284983208830252,-0.02366030095443683
2025-01-14,0.0017952887566644673,0.0,0.0017952887566644673,0.0,0.00793853970142866,0.005966504954010743,1.0284983208830252,-0.021907489270054925
2025-01-15,0.009769708569776686,0.0,0.009769708569776686,0.0,0.01778580549055797,0.01579450453836828,1.0284983208830252,-0.01235181048594225
2025-01-16,0.0014679436102175171,0.0,0.0014679436102175171,0.0,0.01927985766029794,0.017285633590599536,1.0284983208830252,-0.01090199863700203
2025-01-17,0.003933063212183403,0.0,0.003933063212183403,0.0,0.02328874977138118,0.021286682292357417,1.0284983208830252,-0.007011813674597134
2025-01-21,0.008562339036530451,0.0,0.008562339036530451,0.0,0.0320504949791911,0.03003128511963782,1.0300312851196378,0.0
