Date,gross_portfolio_return,gross_exposure,cash_weight,portfolio_turnover,transaction_cost,net_portfolio_return,gross_equity_curve,net_equity_curve,gross_running_peak,net_running_peak,gross_drawdown,net_drawdown
2025-01-13,0.0005866429971336448,1.0,0.6000000000000001,5.551115123125783e-17,5.551115123125783e-20,0.0005866429971336447,0.9775918368215376,0.9567832382497407,1.045831869613403,1.028618418601567,-0.06524952506667314,-0.06983656820912088
2025-01-14,-0.004300280244906356,0.9999999999999999,0.6000000000000001,7.979727989493313e-17,7.979727989493312e-20,-0.004300280244906356,0.9733879179580722,0.9526688021916377,1.045831869613403,1.028618418601567,-0.06926921406794584,-0.07383653163938553
2025-01-15,0.00212130471370162,1.0,0.6100000000000001,0.04999999999999998,4.999999999999998e-05,0.00207130471370162,0.9754527703366969,0.9546420695722136,1.045831869613403,1.028618418601567,-0.06729485046456096,-0.07191816488171199
2025-01-16,2.909501599470928e-05,1.0,0.6100000000000001,0.0,0.0,2.909501599470928e-05,0.9754811511506518,0.954669844898497,1.045831869613403,1.028618418601567,-0.06726771339331694,-0.07189116232587489
2025-01-17,0.00559005432312375,1.0,0.7035704811460546,0.09357048114605454,9.357048114605454e-05,0.005496483841977695,0.9809341437767672,0.9599171722754051,1.045831869613403,1.028618418601567,-0.062053689242254184,-0.06678982709600223
2025-01-18,0.0,1.0,0.6308243479011469,0.11996864115922341,0.00011996864115922341,-0.00011996864115922341,0.9809341437767672,0.9598020123166218,1.045831869613403,1.028618418601567,-0.062053689242254184,-0.0669017830523615
2025-01-19,0.0,0.9999999999999999,0.1602423684332233,0.6216160044535493,0.0006216160044535493,-0.0006216160044535493,0.9809341437767672,0.959205384024659,1.045831869613403,1.028618418601567,-0.062053689242254184,-0.06748181183774327
2025-01-20,0.0,0.9999999999999998,0.1428759276502727,0.08550293644810533,8.550293644810533e-05,-8.550293644810533e-05,0.9809341437767672,0.959123369147668,1.045831869613403,1.028618418601567,-0.062053689242254184,-0.06756154488112243
2025-01-21,0.00451010015576331,0.9999999999999998,0.1867041925622655,0.04465909003871907,4.465909003871907e-05,0.00446544106572459,0.9853582550114083,0.9634062780273561,1.045831869613403,1.028618418601567,-0.057823457440008164,-0.06339779591237382
2025-01-22,0.004357741667364359,0.9999999999999999,0.1488164629116083,0.0711057275236644,7.11057275236644e-05,0.004286635939840694,0.9896521917365529,0.9675360500034165,1.045831869613403,1.028618418601567,-0.053717695462481174,-0.059382923242997654
2025-01-23,-0.002754804223517533,0.9999999999999998,0.1188557847541328,0.06650535951367645,6.650535951367645e-05,-0.0028213095830312094,0.9869258936989438,0.9648063312736137,1.045831869613403,1.028618418601567,-0.056324517951660935,-0.062036695215614945
2025-01-24,-0.007562150834273626,0.9999999999999999,0.1278883856582642,0.08546683837974282,8.546683837974282e-05,-0.0076476176726533686,0.9794626112285422,0.9574278613238778,1.045831869613403,1.028618418601567,-0.06346073428551624,-0.06920987996158434
2025-01-25,0.0,0.9999999999999998,0.1277091981849729,0.01334901337297184,1.3349013372971842e-05,-1.3349013372971842e-05,0.9794626112285422,0.9574150806065533,1.045831869613403,1.028618418601567,-0.06346073428551624,-0.0692223050913442
2025-01-26,0.0,0.9999999999999998,0.1251780620354534,0.05607549474428923,5.607549474428923e-05,-5.607549474428923e-05,0.9794626112285422,0.9573613930822327,1.045831869613403,1.028618418601567,-0.06346073428551624,-0.06927449891108317
2025-01-27,0.001573354648725875,0.9999999999999998,0.5011089748335567,0.4535058481922356,0.0004535058481922356,0.0011198488005336395,0.9810036532811717,0.9584334930899531,1.045831869613403,1.028618418601567,-0.061987225878090135,-0.0682322270750626
2025-01-28,-0.002013917098582545,1.0,0.353039785424132,0.16199004779907378,0.0001619900477990738,-0.0021759071463816186,0.9790279932500567,0.9563480308030071,1.045831869613403,1.028618418601567,-0.06387630584258319,-0.07025966723093813
2025-01-29,0.002840507562677938,0.9999999999999998,0.4659476126638441,0.1499451925083272,0.0001499451925083272,0.0026905623701696108,0.9818089296689568,0.9589211448274715,1.045831869613403,1.028618418601567,-0.06121723940972712,-0.06775814287756066
2025-01-30,-0.004292206973455813,0.9999999999999998,0.3705289325283653,0.1347528597005972,0.0001347528597005972,-0.0044269598331564105,0.9775948025344305,0.9546760394361559,1.045831869613403,1.028618418601567,-0.06524668932129274,-0.07188514013382896
2025-01-31,-0.001478119563310342,0.9999999999999999,0.4196472960828206,0.0654935432070815,6.549354320708151e-05,-0.0015436131065174235,0.9761498005318139,0.9532023889892041,1.045831869613403,1.028618418601567,-0.06662836647667614,-0.07331779039587194
2025-02-01,0.0,0.9999999999999998,0.1788128414613725,0.2525906729762394,0.00025259067297623937,-0.00025259067297623937,0.9761498005318139,0.9529616189562867,1.045831869613403,1.028618418601567,-0.06662836647667614,-0.07355186167883099
2025-02-02,0.0,0.9999999999999999,0.1420334173451184,0.03989447974035984,3.989447974035984e-05,-3.989447974035984e-05,0.9761498005318139,0.9529236010482859,1.045831869613403,1.028618418601567,-0.06662836647667614,-0.07358882184531568
2025-02-03,0.0035595523841738994,0.9999999999999996,0.2683678555157168,0.2203525563586859,0.0002203525563586859,0.0033391998278152137,0.9796244568816077,0.9561056033728274,1.045831869613403,1.028618418601567,-0.06330598125324793,-0.07049534979873551
2025-02-04,0.005795495373792894,0.9999999999999999,0.1429875471972229,0.17241371066746913,0.00017241371066746913,0.005623081663125425,0.9853018658895194,0.9614818632591646,1.045831869613403,1.028618418601567,-0.05787737540094173,-0.06526866924439889
2025-02-05,0.0005470977689683166,0.9999999999999999,0.104753885869371,0.0544780372928464,5.44780372928464e-05,0.0004926197316754702,0.9858409223421079,0.9619555081966542,1.045831869613403,1.028618418601567,-0.05736194221492896,-0.0648082021470534
2025-02-06,-0.00860983540003246,0.9999999999999998,0.0657465036825314,0.03917706563913277,3.9177065639132775e-05,-0.008649012465671593,0.9773529942701261,0.9536355430148399,1.045831869613403,1.028618418601567,-0.06547790073426474,-0.07289668766447743
2025-02-07,0.0055622404258836525,0.9999999999999999,0.0673814946064405,0.06932923486427627,6.932923486427626e-05,0.005492911191019376,0.9827892666052139,0.9588737783612199,1.045831869613403,1.028618418601567,-0.060279864134847094,-0.06780419150491857
2025-02-08,0.0,0.9999999999999999,0.0656505209545292,0.028656520504173714,2.8656520504173716e-05,-2.8656520504173716e-05,0.9827892666052139,0.9588463003751293,1.045831869613403,1.028618418601567,-0.060279864134847094,-0.06783090499321864
2025-02-09,0.0,0.9999999999999998,0.0676633233879014,0.02699023118832309,2.699023118832309e-05,-2.699023118832309e-05,0.9827892666052139,0.9588204208918081,1.045831869613403,1.028618418601567,-0.060279864134847094,-0.06785606445259951
2025-02-10,-0.0002033073524482417,0.9999999999999998,0.0496168217874593,0.12949007084721798,0.00012949007084721797,-0.0003327974232954597,0.9825894583214059,0.9585013279263321,1.045831869613403,1.028618418601567,-0.06047091614771216,-0.06816627955249022
2025-02-11,-0.003613806503481944,0.9999999999999999,0.1494256723870318,0.17629272484993053,0.00017629272484993052,-0.0037900992283318746,0.9790385701466712,0.9548685127830034,1.045831869613403,1.028618418601567,-0.063866192461148,-0.07169802181729201
2025-02-12,0.010271269357637041,0.9999999999999998,0.0519792808898314,0.15207079209426994,0.00015207079209426995,0.010119198565542772,0.9890945390121634,0.964531016867839,1.045831869613403,1.028618418601567,-0.05425090996912618,-0.06230434977127519
2025-02-13,-0.0005040299729585304,0.9999999999999999,0.0508811475096082,0.11322166664554514,0.00011322166664554514,-0.0006172516396040755,0.9885960057184117,0.9639356585162284,1.045831869613403,1.028618418601567,-0.05472759585739995,-0.06288314394882843
2025-02-14,0.0010685875250088508,0.9999999999999999,0.0508815708453598,0.04748638048795871,4.748638048795871e-05,0.0010211011445208922,0.989652407077396,0.9649199343203839,1.045831869613403,1.028618418601567,-0.05371748955859801,-0.061926252854564656
