Date,regime,portfolio_beta_to_spy,rolling_beta_20,rolling_beta_60
2025-02-26,normal,0.2698308769767395,0.2596204900383311,0.2589314703798642
2025-02-27,crisis,0.21695230318970155,0.25697656134897917,0.2580501608167469
2025-02-28,normal,0.2698308769767395,0.2586782925053806,0.2586174045355474
2025-03-03,crisis,0.21695230318970155,0.2560343638160287,0.25830333869123057
2025-03-04,crisis,0.21695230318970155,0.2533904351266768,0.2579892728469137
2025-03-05,normal,0.2698308769767395,0.2533904351266768,0.2579892728469137
2025-03-06,crisis,0.21695230318970155,0.2507465064373249,0.2571079632837964
2025-03-07,normal,0.2698308769767395,0.2524482375937263,0.25767520700259694
2025-03-10,crisis,0.21695230318970155,0.24980430890437438,0.25679389743947956
2025-03-11,normal,0.2698308769767395,0.25150604006077576,0.2567938974394796
2025-03-12,normal,0.2698308769767395,0.2515060400607758,0.2567938974394796
2025-03-13,normal,0.2698308769767395,0.2532077712171772,0.2567938974394796
2025-03-14,normal,0.2698308769767395,0.2549095023735786,0.25679389743947956
2025-03-17,normal,0.2698308769767395,0.25661123352998005,0.2567938974394796
2025-03-18,crisis,0.21695230318970155,0.2539673048406281,0.25591258787636234
2025-03-19,normal,0.2698308769767395,0.2539673048406281,0.25591258787636234
2025-03-20,normal,0.2698308769767395,0.2539673048406281,0.2559125878763623
2025-03-21,normal,0.2698308769767395,0.2539673048406281,0.2559125878763623
2025-03-24,normal,0.2698308769767395,0.2539673048406281,0.25591258787636234
2025-03-25,normal,0.2698308769767395,0.2539673048406281,0.2559125878763623
2025-03-26,crisis,0.21695230318970155,0.2513233761512762,0.255031278313245
2025-03-27,normal,0.2698308769767395,0.2539673048406281,0.255031278313245
2025-03-28,crisis,0.21695230318970155,0.2513233761512762,0.25414996875012774
2025-03-31,crisis,0.21695230318970155,0.2513233761512762,0.2532686591870104
2025-04-01,normal,0.2698308769767395,0.2539673048406281,0.2541499687501277
2025-04-02,normal,0.2698308769767395,0.2539673048406281,0.2541499687501277
2025-04-03,crisis,0.21695230318970155,0.2539673048406281,0.2532686591870104
2025-04-04,crisis,0.21695230318970155,0.2513233761512762,0.2532686591870104
2025-04-07,crisis,0.21695230318970155,0.2513233761512762,0.25238734962389314
2025-04-08,crisis,0.21695230318970155,0.24867944746192436,0.25238734962389314
2025-04-09,high_volatility,-0.14007050912344415,0.22818437815691514,0.24555565985555672
2025-04-10,crisis,0.21695230318970155,0.2255404494675633,0.2446743502924394
2025-04-11,high_volatility,-0.14007050912344415,0.20504538016255408,0.23784266052410302
2025-04-14,high_volatility,-0.14007050912344415,0.18455031085754486,0.23189228031888393
2025-04-15,high_volatility,-0.14007050912344415,0.1666991702418876,0.22506059055054753
2025-04-16,crisis,0.21695230318970155,0.16405524155253567,0.2247465247062307
2025-04-17,high_volatility,-0.14007050912344415,0.1435601722475265,0.21791483493789432
2025-04-21,crisis,0.21695230318970155,0.14091624355817461,0.21760076909357748
2025-04-22,high_volatility,-0.14007050912344415,0.12042117425316543,0.21133632304404154
2025-04-23,high_volatility,-0.14007050912344415,0.09992610494815625,0.20450463327570517
2025-04-24,high_volatility,-0.14007050912344415,0.08207496433249897,0.19767294350736878
2025-04-25,high_volatility,-0.14007050912344415,0.061579895027489784,0.19084125373903235
