date,SPY,QQQ,DIA,TLT,GLD,VIX,BTC-USD,ETH-USD
2017-02-20,202.97213745117188,121.92691802978516,172.54605102539062,92.8674087524414,117.68000030517578,11.489999771118164,1079.97998046875,
2017-02-21,204.18093872070312,122.52803039550781,173.5433807373047,92.7053451538086,117.75,11.569999694824219,1115.300048828125,
2017-02-22,203.9995880126953,122.5749740600586,173.86184692382812,92.85971069335938,117.91000366210938,11.739999771118164,1117.43994140625,
2017-02-23,204.13771057128906,122.1147689819336,174.17201232910156,93.13758087158203,118.94000244140625,11.710000038146973,1166.719970703125,
2017-02-24,204.39669799804688,122.34955596923828,174.26414489746094,94.17184448242188,119.69999694824219,11.470000267028809,1173.6800537109375,
2017-02-25,204.39669799804688,122.34955596923828,174.26414489746094,94.17184448242188,119.69999694824219,11.470000267028809,1143.8399658203125,
2017-02-26,204.39669799804688,122.34955596923828,174.26414489746094,94.17184448242188,119.69999694824219,11.470000267028809,1165.199951171875,
2017-02-27,204.71620178222656,122.49983978271484,174.5658416748047,93.61611938476562,119.12000274658203,12.09000015258789,1179.969970703125,
2017-02-28,204.16355895996094,122.12413024902344,174.3060760498047,93.96345520019531,119.2300033569336,12.920000076293945,1179.969970703125,
2017-03-01,207.0214080810547,123.45791625976562,176.85391235351562,92.38896179199219,119.05999755859375,12.539999961853027,1222.5,
2017-03-02,205.71771240234375,122.83799743652344,175.9068603515625,92.05643463134766,117.58000183105469,11.8100004196167,1251.010009765625,
2017-03-03,205.8472137451172,123.06343078613281,175.92356872558594,92.29613494873047,117.51000213623047,10.960000038146973,1274.989990234375,
2017-03-04,205.8472137451172,123.06343078613281,175.92356872558594,92.29613494873047,117.51000213623047,10.960000038146973,1255.1500244140625,
2017-03-05,205.8472137451172,123.06343078613281,175.92356872558594,92.29613494873047,117.51000213623047,10.960000038146973,1267.1199951171875,
2017-03-06,205.2342071533203,122.79103088378906,175.56312561035156,91.85537719726562,116.72000122070312,11.239999771118164,1272.8299560546875,
2017-03-07,204.62118530273438,122.58438873291016,175.30340576171875,91.57698059082031,115.77999877929688,11.449999809265137,1223.5400390625,
2017-03-08,204.2412872314453,122.80040740966797,174.83407592773438,91.08202362060547,115.05999755859375,11.859999656677246,1150.0,
2017-03-09,204.50035095214844,122.89433288574219,174.88430786132812,90.35513305664062,114.47000122070312,12.300000190734863,1188.489990234375,
2017-03-10,205.21694946289062,123.41096496582031,175.28659057617188,90.67216491699219,114.72000122070312,11.65999984741211,1116.719970703125,
2017-03-11,205.21694946289062,123.41096496582031,175.28659057617188,90.67216491699219,114.72000122070312,11.65999984741211,1175.8299560546875,
2017-03-12,205.21694946289062,123.41096496582031,175.28659057617188,90.67216491699219,114.72000122070312,11.65999984741211,1221.3800048828125,
2017-03-13,205.3206024169922,123.61760711669922,175.110595703125,90.09991455078125,114.73999786376953,11.350000381469727,1231.9200439453125,
2017-03-14,204.53485107421875,123.3170166015625,174.77536010742188,90.53297424316406,114.12000274658203,12.300000190734863,1240.0,
2017-03-15,206.30477905273438,124.07786560058594,175.64698791503906,91.63885498046875,116.25,11.630000114440918,1249.6099853515625,
2017-03-16,205.89901733398438,123.99327850341797,175.52955627441406,91.17481994628906,116.7300033569336,11.210000038146973,1187.81005859375,
2017-03-17,205.5374298095703,123.95002746582031,175.38526916503906,91.74705505371094,116.98999786376953,11.279999732971191,1100.22998046875,
2017-03-18,205.5374298095703,123.95002746582031,175.38526916503906,91.74705505371094,116.98999786376953,11.279999732971191,973.8179931640625,
2017-03-19,205.5374298095703,123.95002746582031,175.38526916503906,91.74705505371094,116.98999786376953,11.279999732971191,1036.739990234375,
2017-03-20,205.31195068359375,124.06298828125,175.34327697753906,92.14151763916016,117.51000213623047,11.34000015258789,1054.22998046875,
2017-03-21,202.6759033203125,122.18050384521484,173.2775115966797,92.90706634521484,118.54000091552734,12.470000267028809,1120.5400390625,
2017-03-22,203.15280151367188,123.00875854492188,173.327880859375,93.27826690673828,118.83000183105469,12.8100004196167,1049.1400146484375,
2017-03-23,202.93606567382812,122.69820404052734,173.2439422607422,93.14678192138672,118.66999816894531,13.119999885559082,1038.5899658203125,
2017-03-24,202.78860473632812,122.95228576660156,172.7736053466797,93.47929382324219,118.86000061035156,12.960000038146973,937.52001953125,
2017-03-25,202.78860473632812,122.95228576660156,172.7736053466797,93.47929382324219,118.86000061035156,12.960000038146973,972.7789916992188,
2017-03-26,202.78860473632812,122.95228576660156,172.7736053466797,93.47929382324219,118.86000061035156,12.960000038146973,966.7249755859375,
2017-03-27,202.5804901123047,123.14994049072266,172.3369903564453,93.90463256835938,119.52999877929688,12.5,1045.77001953125,
