Date,rolling_avg_abs_corr,rolling_max_abs_corr,rolling_corr_dispersion,high_corr_edge_ratio,avg_corr_spike_flag,max_corr_spike_flag,network_stress_flag,diversification_collapse_score,collapse_label,instability_cluster_score,calibrated_most_likely_state,calibrated_regime_confidence,calibrated_state_0_probability,calibrated_state_1_probability,calibrated_state_2_probability
2024-11-20,0.5160326456424832,0.9439803683902863,0.265000921489157,0.2857142857142857,0,0,0,0.0,normal_diversification,0.27999999999999997,1,0.2530899025636804,0.1505710228078718,0.6988579543842562,0.1505710228078718
2024-11-21,0.5164322795236839,0.9406089568001466,0.24920790431701856,0.2857142857142857,0,0,0,0.0,normal_diversification,0.13999999999999999,1,0.2531025118712638,0.1505665106147592,0.6988669787704815,0.1505665106147592
2024-11-22,0.5070696477544827,0.9434630818479148,0.25573003170927994,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718748436,0.150566381790688,0.698867236418624,0.150566381790688
2024-11-25,0.5010939232556796,0.951920327612233,0.25827339994791515,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718293677,0.1505663818069611,0.6988672363860777,0.1505663818069611
2024-11-26,0.45745794406102774,0.9529364896739114,0.2738864856109963,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2531028717493212,0.1505663818356051,0.6988672363287898,0.1505663818356051
2024-11-27,0.4575419746826738,0.9659133826876014,0.27593297000062617,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.2531028698227271,0.1505663825250193,0.6988672349499613,0.1505663825250193
2024-11-29,0.4315600514366598,0.9656542280217175,0.27471855175524384,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,1,0.2531028684353517,0.1505663830214791,0.6988672339570418,0.1505663830214791
2024-12-02,0.4220984067584972,0.9527885340159973,0.2551130180364949,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028698668182,0.1505663825092417,0.6988672349815165,0.1505663825092417
2024-12-03,0.42063851013408016,0.9322435298361199,0.25294887744996664,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028713723433,0.1505663819705032,0.6988672360589936,0.1505663819705032
2024-12-04,0.4030412207336519,0.9283736918121285,0.2596673709754072,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028714774176,0.1505663819329034,0.6988672361341933,0.1505663819329034
2024-12-05,0.4013590921093196,0.9234294787323563,0.25594988813952535,0.17857142857142858,0,0,0,0.0,normal_diversification,0.0,1,0.2531028716850959,0.1505663818585876,0.6988672362828249,0.1505663818585876
2024-12-06,0.3075518515618501,0.9138016103008016,0.21596465321246167,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.253102871879308,0.1505663817890905,0.698867236421819,0.1505663817890905
2024-12-09,0.27711737998670677,0.8920683572532015,0.22549703938522,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718811127,0.1505663817884447,0.6988672364231107,0.1505663817884447
2024-12-10,0.2938141694861926,0.9109890246405095,0.2358944853050227,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718792213,0.1505663817891215,0.6988672364217571,0.1505663817891215
2024-12-11,0.31241207950920863,0.9131065087594533,0.2357645181650387,0.07142857142857142,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718793264,0.1505663817890838,0.6988672364218322,0.1505663817890838
2024-12-12,0.31147550249813916,0.9223516407678723,0.22730990128070305,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718764626,0.1505663817901087,0.6988672364197827,0.1505663817901087
2024-12-13,0.3238959355229533,0.9258909604519564,0.2349816689105216,0.07142857142857142,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718776702,0.1505663817896766,0.6988672364206469,0.1505663817896766
2024-12-16,0.299406665869221,0.9086122845179392,0.24294658028735727,0.07142857142857142,0,0,0,0.0,normal_diversification,0.0,1,0.2531028718815482,0.1505663817882888,0.6988672364234224,0.1505663817882888
2024-12-17,0.30338996484442227,0.8340488806440317,0.2019370580591821,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.2531028705386863,0.1505663822688198,0.6988672354623603,0.1505663822688198
2024-12-18,0.317738231143429,0.8435922104857274,0.20565704505534557,0.03571428571428571,0,0,0,0.0,normal_diversification,0.0,1,0.0964457241639965,0.1505663822688156,0.5161002839169362,0.3333333338142482
2024-12-19,0.5048836321691741,0.9320964992579568,0.22647386104674885,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,2,0.0964457247380985,0.1505663822687935,0.3333333323715478,0.5161002853596587
2024-12-20,0.4951059086516699,0.9275844636340124,0.2232033198537778,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,2,0.2531024466425116,0.1505665339562975,0.1505665339562975,0.6988669320874049
2024-12-23,0.49661504923580707,0.9188988328513521,0.23131178403871064,0.21428571428571427,0,0,0,0.0,normal_diversification,0.0,2,0.111954069915557,0.1463686115008382,0.309912801487488,0.5437185870116736
2024-12-24,0.49106121951314247,0.9240559122412928,0.23865335612203264,0.25,0,0,0,0.0,normal_diversification,0.0,1,0.091721312722341,0.1463685404897824,0.4926780660019519,0.3609533935082655
2024-12-26,0.5730657645326132,0.9319085532013685,0.20210432575859846,0.25,1,0,0,0.4,partial_breakdown,0.08,1,0.2531013425710021,0.1505669290391408,0.6988661419217185,0.1505669290391408
2024-12-27,0.5651319217181765,0.9310264165957093,0.2082817533065307,0.25,1,0,0,0.4,partial_breakdown,0.16,1,0.2530696861637901,0.1505782574333073,0.6988434851333855,0.1505782574333073
2024-12-30,0.5969590278451439,0.9400204210980694,0.20867407826680665,0.35714285714285715,1,0,1,0.7,severe_collapse,0.3,1,0.1133371351559131,0.1460252239450735,0.5459443198675388,0.3080304561873876
2024-12-31,0.5654478140719031,0.9433897726792996,0.22776681437099,0.32142857142857145,1,0,1,0.7,severe_collapse,0.44000000000000006,2,0.0914811615974309,0.1460116538351662,0.3632302419741126,0.4907581041907212
2025-01-02,0.5698894165111196,0.9455705606239844,0.22801086836873605,0.35714285714285715,1,0,1,0.7,severe_collapse,0.58,2,0.2530636659867145,0.1505804118718968,0.1505804118718968,0.6988391762562064
2025-01-03,0.5667931767450491,0.9456007173434011,0.21815373696247908,0.32142857142857145,1,0,1,0.7,severe_collapse,0.64,2,0.2485343918472555,0.1500751452295387,0.1543637577829488,0.6955610969875125
2025-01-06,0.5390790923855209,0.9491205494446189,0.2436853623434802,0.32142857142857145,1,0,1,0.7,severe_collapse,0.7,2,0.1157221974416314,0.1294938041994678,0.3486830926073055,0.5218231031932267
2025-01-07,0.5400426916700288,0.9503339311315936,0.24371102308277862,0.32142857142857145,1,0,1,0.7,severe_collapse,0.7,1,0.1063854105276386,0.1335868409709377,0.5050343568335305,0.3613788021955317
2025-01-08,0.5390340129562975,0.9551063946585807,0.25070665915052653,0.35714285714285715,1,0,1,0.7,severe_collapse,0.7,1,0.1818500752665955,0.1411049373386884,0.6358979406907314,0.2229971219705803
2025-01-10,0.5436509918115797,0.9540159640196689,0.24304244753038148,0.35714285714285715,1,0,1,0.7,severe_collapse,0.7,1,0.1067214613640633,0.1476479297296848,0.5348998628527208,0.3174522074175943
2025-01-13,0.519563170454422,0.9554550263014212,0.23604382038894775,0.2857142857142857,0,0,0,0.0,normal_diversification,0.5599999999999999,2,0.2274658038661837,0.1470250471052785,0.1737745912908649,0.6792003616038566
2025-01-14,0.5101511831032592,0.9540530802099847,0.23468675607284809,0.25,0,0,0,0.0,normal_diversification,0.41999999999999993,2,0.1460123024470987,0.1366541174785017,0.273841577329919,0.5895043051915791
2025-01-15,0.5180215294471041,0.952547492747771,0.22770147375839073,0.25,0,0,0,0.0,normal_diversification,0.27999999999999997,1,0.0935714633624844,0.1366381548947138,0.456578676178582,0.4067831689267042
2025-01-16,0.5869724063358136,0.9676968718349733,0.1947751445560069,0.2857142857142857,1,0,0,0.4,partial_breakdown,0.22000000000000003,1,0.1645398429775598,0.1402367630579639,0.616194674154643,0.243568562787393
2025-01-17,0.5833536030364217,0.9770197381104189,0.20497808006110024,0.2857142857142857,1,0,0,0.4,partial_breakdown,0.16,1,0.2530899167307217,0.1505710177381789,0.6988579645236421,0.1505710177381789
2025-01-21,0.5781650402221999,0.9754214349810322,0.223214658302963,0.32142857142857145,1,0,1,0.7,severe_collapse,0.3,1,0.2531028718777079,0.150566381789663,0.6988672364206739,0.150566381789663
2025-01-22,0.47129750624418326,0.9600791068702745,0.28291806557684546,0.25,0,0,0,0.0,normal_diversification,0.3,1,0.2531028718795257,0.1505663817890125,0.6988672364219749,0.1505663817890125
2025-01-23,0.47635346764545833,0.9552558146204212,0.2805339159959918,0.25,0,0,0,0.0,normal_diversification,0.3,1,0.2531028718796945,0.1505663817889521,0.6988672364220957,0.1505663817889521
2025-01-24,0.48737660234193164,0.9577590735216477,0.2723126531578587,0.25,0,0,0,0.0,normal_diversification,0.22000000000000003,1,0.2531028718764601,0.1505663817901096,0.6988672364197809,0.1505663817901095
