date,train_end,test_start,mars,static_cvar,equal_weight,mean_variance,stress_probability,turnover
2023-07-17,2023-07-06,2023-07-07,0.0014820172955289257,0.0014820172955289257,0.001170622616933903,0.002083335091457705,0.06299212598425197,0.0
2023-07-18,2023-07-06,2023-07-07,0.006026771943190235,0.006026771943190235,0.005856531325398262,0.004458327148629149,0.06299212598425197,0.0
2023-07-19,2023-07-06,2023-07-07,0.0036350434846857734,0.0036350434846857734,0.0034208406959180815,0.0013342236691067822,0.06299212598425197,0.0
2023-07-20,2023-07-06,2023-07-07,-0.006370157303206132,-0.006370157303206132,-0.005959888463341251,-0.003980629783980327,0.06299212598425197,0.0
2023-07-21,2023-07-06,2023-07-07,-0.0005390308030778891,-0.0005390308030778891,-0.0006922574640576551,0.0,0.06299212598425197,0.0
2023-07-24,2023-07-06,2023-07-07,-0.00020204534013277859,-0.00020204534013277859,-0.0008628511240634518,0.002680392705578827,0.06299212598425197,0.0
2023-07-25,2023-07-06,2023-07-07,0.0016003976475392314,0.0016003976475392314,0.001605796864373621,0.001637962691730932,0.06299212598425197,0.0
2023-07-26,2023-07-06,2023-07-07,0.0012767158693706708,0.0012767158693706708,0.0015052914483806301,9.228103355596318e-05,0.06299212598425197,0.0
2023-07-27,2023-07-06,2023-07-07,-0.010326066535309403,-0.010326066535309403,-0.010448671578055457,-0.003977961944609376,0.06299212598425197,0.0
2023-07-28,2023-07-06,2023-07-07,0.006306857357196283,0.006306857357196283,0.0057269094041426105,0.0058741048384095326,0.06299212598425197,0.0
2023-07-31,2023-07-06,2023-07-07,0.0018064395153941093,0.0018064395153941093,0.0017507441737195095,0.001142495196730975,0.06299212598425197,0.0
2023-08-01,2023-07-06,2023-07-07,-0.007171282727484663,-0.007171282727484663,-0.007403348719654507,-0.0017170079291647822,0.06299212598425197,0.0
2023-08-02,2023-07-06,2023-07-07,-0.008496609302754832,-0.008496609302754832,-0.007343818979528044,-0.008346422608244586,0.06299212598425197,0.0
2023-08-03,2023-07-06,2023-07-07,-0.006837724207555318,-0.006837724207555318,-0.00656783692556448,-0.0017195678155697669,0.06299212598425197,0.0
2023-08-04,2023-07-06,2023-07-07,0.003569217735285824,0.003569217735285824,0.0042025123240695406,-0.002713643249121356,0.06299212598425197,0.0
2023-08-07,2023-07-06,2023-07-07,0.00013949584377994056,0.00013949584377994056,-0.0008471289753368139,0.005237130029267023,0.06299212598425197,0.0
2023-08-08,2023-07-06,2023-07-07,0.00011321905540027629,0.00011321905540027629,0.00023102083459927703,-0.002609134733580398,0.06299212598425197,0.0
2023-08-09,2023-07-06,2023-07-07,-0.001998789736823459,-0.001998789736823459,-0.0015681688771342905,-0.0040111872714687635,0.06299212598425197,0.0
2023-08-10,2023-07-06,2023-07-07,-0.004203785194565457,-0.004203785194565457,-0.0042930958309784495,0.00021528247567186297,0.06299212598425197,0.0
2023-08-11,2023-07-06,2023-07-07,-0.0007793474656451138,-0.0007793474656451138,-0.0007210609365505272,-0.00034971917456751985,0.06299212598425197,0.0
2023-08-14,2023-07-06,2023-07-07,0.0007733219383995623,0.0007733219383995623,6.930358686868532e-05,0.0033119335443819063,0.06299212598425197,0.0
2023-08-15,2023-07-06,2023-07-07,-0.006131720644284688,-0.006131720644284688,-0.00509955078604693,-0.006989361452347209,0.06299212598425197,0.0
2023-08-16,2023-07-06,2023-07-07,-0.0056796687680046865,-0.0056796687680046865,-0.005234656628189727,-0.004402881664119373,0.06299212598425197,0.0
2023-08-17,2023-07-06,2023-07-07,-0.004040085369501301,-0.004040085369501301,-0.0033550020331898356,-0.004571861744582728,0.06299212598425197,0.0
2023-08-18,2023-07-06,2023-07-07,0.0010856082398168932,0.0010856082398168932,0.001046042355088872,0.0002887337774633458,0.06299212598425197,0.0
2023-08-21,2023-07-06,2023-07-07,-0.0005079684012616714,-0.0005079684012616714,-0.0010217227044421184,0.0039038268899654225,0.06299212598425197,0.0
2023-08-22,2023-07-06,2023-07-07,0.0013004567972144444,0.0013004567972144444,0.0016537992748812402,-0.0016251878807056475,0.06299212598425197,0.0
2023-08-23,2023-07-06,2023-07-07,0.01212551446625303,0.01212551446625303,0.011519971754968994,0.006682648472291541,0.06299212598425197,0.0
2023-08-24,2023-07-06,2023-07-07,-0.006544167044594184,-0.006544167044594184,-0.005169503394846453,-0.008315427993719449,0.06299212598425197,0.0
2023-08-25,2023-07-06,2023-07-07,0.003025374945640058,0.003025374945640058,0.0022557271448507,0.004229900897902539,0.06299212598425197,0.0
2023-08-28,2023-07-06,2023-07-07,0.003056246733973489,0.003056246733973489,0.0025656905490941684,0.0038047431102532056,0.06299212598425197,0.0
2023-08-29,2023-07-06,2023-07-07,0.009609234820210399,0.009609234820210399,0.008652166943882045,0.008672834788446559,0.06299212598425197,0.0
2023-08-30,2023-07-06,2023-07-07,0.0016824907909386178,0.0016824907909386178,0.0013956866143686741,0.002471387497704125,0.06299212598425197,0.0
2023-08-31,2023-07-06,2023-07-07,0.0002723759623686094,0.0002723759623686094,0.00033553500327815344,-0.0008780719909746715,0.06299212598425197,0.0
2023-09-01,2023-07-06,2023-07-07,-0.003141801862351107,-0.003141801862351107,-0.0033033344181453705,0.0011191725635535832,0.06299212598425197,0.0
2023-09-05,2023-07-06,2023-07-07,-0.006650599760459192,-0.006650599760459192,-0.006626482795026173,-0.0025932075097514495,0.06299212598425197,0.0
2023-09-06,2023-07-06,2023-07-07,-0.0026447983322278323,-0.0026447983322278323,-0.0021992635638530267,-0.004033482168289404,0.06299212598425197,0.0
2023-09-07,2023-07-06,2023-07-07,-0.00016749714986641896,-0.00016749714986641896,0.00019294550523538123,-0.0018421209711834807,0.06299212598425197,0.0
2023-09-08,2023-07-06,2023-07-07,0.0015518100212335907,0.0015518100212335907,0.0014180522364269366,0.0009036548267263633,0.06299212598425197,0.0
2023-09-11,2023-07-06,2023-07-07,0.000871021070325123,0.000871021070325123,0.0003060139978884602,0.0039459754327020756,0.06299212598425197,0.0
2023-09-12,2023-07-06,2023-07-07,-0.001510341270031557,-0.001510341270031557,-0.0012196102049056579,-0.003291381766677848,0.06299212598425197,0.0
2023-09-13,2023-07-06,2023-07-07,-0.0001070554093425715,-0.0001070554093425715,-0.0003391576322683276,0.0006996103806215625,0.06299212598425197,0.0
2023-09-14,2023-07-06,2023-07-07,0.0013150273218867578,0.0013150273218867578,0.00047819864013295965,0.005173439343109276,0.06299212598425197,0.0
2023-09-15,2023-07-06,2023-07-07,-0.004419757063019213,-0.004419757063019213,-0.0028847295453066635,-0.007229020136409203,0.06299212598425197,0.0
